rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0067.jpg,26.8,0.7075,0.6401,0.625,1.0,8,5,False,True
2,frame_0377.jpg,150.8,0.703,0.8331,0.875,0.12,10,7,False,True
3,frame_0079.jpg,31.6,0.7013,0.7076,0.625,0.8,8,5,False,True
4,frame_0069.jpg,27.6,0.6984,0.8467,0.25,1.0,7,2,False,False
5,frame_0004.jpg,1.6,0.6894,0.7538,0.375,1.0,6,3,False,True
6,frame_0291.jpg,116.4,0.6838,0.7316,0.5,0.84,8,4,False,True
7,frame_0293.jpg,117.2,0.6787,0.7535,0.5,0.76,7,4,False,False
8,frame_0122.jpg,48.8,0.676,0.962,0.25,0.6,3,2,False,True
9,frame_0367.jpg,146.8,0.671,0.785,0.875,0.08,8,7,False,True
10,frame_0307.jpg,122.8,0.6646,0.6492,1.0,0.2,9,8,False,True
11,frame_0011.jpg,4.4,0.66,0.77,0.25,1.0,3,2,False,True
12,frame_0328.jpg,131.2,0.6548,0.7526,0.875,0.08,12,7,False,True
13,frame_0133.jpg,53.2,0.6485,0.5971,0.5,1.0,9,4,False,True
14,frame_0080.jpg,32.0,0.6461,0.5382,0.75,0.76,7,6,False,False
15,frame_0007.jpg,2.8,0.6442,0.5884,0.5,1.0,5,4,False,False
16,frame_0387.jpg,154.8,0.6396,0.7491,0.75,0.2,9,6,False,True
17,frame_0002.jpg,0.8,0.6374,0.5747,0.5,1.0,7,4,False,False
18,frame_0378.jpg,151.2,0.6362,0.7155,0.875,0.08,10,7,False,False
19,frame_0186.jpg,74.4,0.6327,0.7995,0.75,0.04,9,6,False,False
20,frame_0292.jpg,116.8,0.6285,0.712,0.375,0.8,8,3,False,False
21,frame_0076.jpg,30.4,0.6272,0.5863,0.5,0.92,8,4,False,False
22,frame_0321.jpg,128.4,0.6269,0.7987,0.625,0.2,6,5,False,False
23,frame_0072.jpg,28.8,0.6251,0.5502,0.5,1.0,7,4,False,False
24,frame_0075.jpg,30.0,0.6235,0.5629,0.5,0.96,7,4,False,False
25,frame_0074.jpg,29.6,0.6209,0.6918,0.25,1.0,7,2,False,False
26,frame_0000.jpg,0.0,0.6181,0.4613,0.625,1.0,7,5,False,False
27,frame_0030.jpg,12.0,0.6177,0.5354,0.5,1.0,7,4,False,False
28,frame_0368.jpg,147.2,0.6165,0.7671,0.75,0.04,8,6,False,False
29,frame_0014.jpg,5.6,0.6091,0.5932,0.375,1.0,5,3,False,False
30,frame_0379.jpg,151.6,0.6082,0.6754,0.875,0.04,7,7,False,False
31,frame_0318.jpg,127.2,0.6074,0.7438,0.625,0.24,7,5,False,False
32,frame_0206.jpg,82.4,0.6067,0.7594,0.25,0.76,2,2,False,False
33,frame_0389.jpg,155.6,0.6064,0.7898,0.625,0.12,11,5,False,False
34,frame_0033.jpg,13.2,0.6058,0.5867,0.375,1.0,7,3,False,False
35,frame_0126.jpg,50.4,0.6058,0.7576,0.25,0.76,6,2,False,False
36,frame_0001.jpg,0.4,0.6043,0.5837,0.375,1.0,8,3,False,False
37,frame_0287.jpg,114.8,0.6011,0.4802,0.75,0.68,7,6,False,False
38,frame_0105.jpg,42.0,0.6003,0.7186,0.75,0.08,7,6,False,False
39,frame_0120.jpg,48.0,0.599,0.69,0.5,0.52,6,4,False,False
40,frame_0333.jpg,133.2,0.5975,0.713,0.75,0.08,10,6,False,False
